,filepath,x_centroid,y_centroid,x_min,y_min,x_max,y_max,detection_confidence
0,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1138.5,1823.5,898,1498,1379,2149,0.8592384
1,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1824.0,900,1499,1379,2149,0.85769516
2,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1823.0,900,1498,1378,2148,0.85458785
3,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1825.0,900,1500,1379,2150,0.8577111
4,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1141.5,1824.5,903,1499,1380,2150,0.8525838
5,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1824.0,900,1498,1379,2150,0.8579978
6,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1824.0,901,1498,1378,2150,0.8535684
7,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1824.5,901,1499,1378,2150,0.858466
8,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1825.0,902,1499,1378,2151,0.85553813
9,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1825.0,900,1500,1378,2150,0.85013944
10,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1138.5,1825.5,900,1501,1377,2150,0.85501015
11,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1824.5,903,1500,1377,2149,0.8544286
12,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1825.0,902,1500,1378,2150,0.85423297
13,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1824.5,902,1500,1378,2149,0.8526636
14,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1823.5,902,1499,1378,2148,0.85017693
15,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1823.5,902,1498,1378,2149,0.85411584
16,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.5,1823.5,903,1499,1378,2148,0.8527806
17,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1823.0,902,1499,1378,2147,0.8509488
18,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1141.5,1823.0,904,1499,1379,2147,0.85133135
19,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1141.0,1823.5,904,1499,1378,2148,0.85505295
20,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1141.5,1824.5,904,1500,1379,2149,0.85445946
21,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1141.0,1824.5,903,1500,1379,2149,0.85069764
22,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1141.0,1824.0,903,1500,1379,2148,0.8496034
23,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1823.5,900,1500,1379,2147,0.8476122
24,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1824.5,899,1501,1380,2148,0.8475558
25,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1824.5,899,1501,1379,2148,0.85103095
26,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1825.0,899,1502,1379,2148,0.84947747
27,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1824.5,899,1501,1380,2148,0.84738714
28,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1824.5,900,1501,1379,2148,0.8482714
29,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1825.0,900,1500,1380,2150,0.8465634
30,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1824.0,900,1499,1379,2149,0.85008997
31,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1824.0,899,1500,1379,2148,0.8499845
32,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1823.5,901,1499,1378,2148,0.84937304
33,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1823.5,900,1498,1378,2149,0.85680205
34,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1823.5,900,1498,1378,2149,0.8544496
35,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1824.0,902,1499,1378,2149,0.8543234
36,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1824.0,901,1499,1379,2149,0.8538081
37,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1824.0,901,1499,1378,2149,0.8527427
38,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1824.0,900,1499,1378,2149,0.85266197
39,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.5,1823.5,902,1498,1379,2149,0.8530579
40,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.5,1824.0,902,1499,1379,2149,0.8507839
41,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1823.5,900,1498,1379,2149,0.8484865
42,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1824.0,901,1499,1379,2149,0.8492053
43,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1824.5,899,1500,1379,2149,0.84869933
44,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1824.0,899,1500,1379,2148,0.85063446
45,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1138.5,1823.5,899,1499,1378,2148,0.85269415
46,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1825.0,900,1501,1378,2149,0.85270065
47,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.5,1824.0,903,1499,1378,2149,0.85381114
48,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.5,1824.5,902,1500,1379,2149,0.8512714
49,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.5,1824.5,902,1500,1379,2149,0.8544856
50,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.5,1824.5,902,1500,1379,2149,0.8498396
51,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1823.5,902,1499,1378,2148,0.85046023
52,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1824.5,900,1500,1378,2149,0.8533711
53,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1138.5,1824.5,899,1501,1378,2148,0.8496808
54,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1824.5,901,1500,1378,2149,0.85228705
55,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1824.0,900,1500,1378,2148,0.8517757
56,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1824.5,901,1500,1379,2149,0.8515564
57,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1824.5,901,1500,1379,2149,0.85108954
58,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.5,1825.5,902,1500,1379,2151,0.8519737
59,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1141.0,1826.0,902,1501,1380,2151,0.8460413
60,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1825.0,899,1501,1379,2149,0.8438447
61,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1825.0,899,1502,1379,2148,0.84730434
62,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1138.5,1825.5,899,1503,1378,2148,0.8472145
63,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1138.5,1826.0,899,1503,1378,2149,0.8513606
64,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1825.0,900,1502,1378,2148,0.85193425
65,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1825.5,900,1502,1378,2149,0.8525162
66,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1826.0,902,1503,1378,2149,0.8552006
67,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.5,1825.0,903,1502,1378,2148,0.85521996
68,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.5,1826.0,902,1503,1379,2149,0.85568005
69,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.5,1827.0,902,1503,1379,2151,0.8561749
70,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1826.5,901,1503,1379,2150,0.8563733
71,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1138.0,1826.0,899,1502,1377,2150,0.8557182
72,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1826.0,900,1502,1378,2150,0.85276514
73,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1138.5,1827.0,899,1503,1378,2151,0.8524081
74,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1138.0,1825.5,899,1502,1377,2149,0.8544678
75,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1138.0,1826.0,898,1502,1378,2150,0.8578828
76,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1826.0,900,1502,1378,2150,0.8552488
77,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1138.5,1826.0,899,1502,1378,2150,0.855464
78,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1138.5,1826.0,899,1502,1378,2150,0.8546914
79,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1138.0,1825.5,898,1502,1378,2149,0.8552688
80,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1825.5,900,1501,1378,2150,0.8585715
81,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1825.5,900,1502,1379,2149,0.8577541
82,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1824.5,901,1501,1379,2148,0.8558799
83,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1825.0,901,1501,1379,2149,0.8568788
84,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1824.5,901,1500,1379,2149,0.8529707
85,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1824.5,899,1501,1379,2148,0.8462758
86,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1824.0,900,1501,1379,2147,0.849108
87,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1825.5,900,1501,1378,2150,0.8502181
88,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1138.0,1826.0,898,1503,1378,2149,0.85432005
89,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1138.0,1825.0,898,1502,1378,2148,0.8549323
90,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1824.5,900,1501,1378,2148,0.85572577
91,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1138.5,1825.0,899,1502,1378,2148,0.85351825
92,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1824.5,900,1501,1378,2148,0.85055053
93,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1825.5,899,1502,1379,2149,0.85188216
94,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1138.5,1825.5,899,1502,1378,2149,0.85238147
95,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1138.5,1826.0,898,1503,1379,2149,0.8555303
96,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1138.5,1825.5,898,1503,1379,2148,0.8505278
97,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1826.5,899,1504,1379,2149,0.84965515
98,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1138.5,1825.5,899,1502,1378,2149,0.8516582
99,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1826.0,900,1502,1379,2150,0.8472682
100,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1825.0,901,1501,1379,2149,0.8510109
101,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1138.5,1824.5,899,1501,1378,2148,0.8509733
102,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1826.0,901,1503,1378,2149,0.8529695
103,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1826.0,900,1503,1378,2149,0.854049
104,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1826.5,900,1503,1378,2150,0.8542861
105,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1826.0,902,1503,1378,2149,0.85225916
106,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1826.0,902,1503,1378,2149,0.8548218
107,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1825.5,900,1502,1378,2149,0.8483893
108,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.5,1825.0,903,1502,1378,2148,0.8468085
109,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1825.5,900,1502,1378,2149,0.8454527
110,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1825.0,900,1501,1378,2149,0.8506849
111,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1824.5,900,1501,1378,2148,0.8497587
112,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1825.0,901,1502,1378,2148,0.84890264
113,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1825.5,901,1502,1378,2149,0.8502224
114,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1826.0,901,1503,1378,2149,0.8523069
115,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.5,1825.0,902,1503,1379,2147,0.85123044
116,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1825.5,900,1503,1378,2148,0.8533191
117,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1825.5,901,1503,1379,2148,0.85545534
118,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1826.0,900,1503,1379,2149,0.8502247
119,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1826.5,900,1503,1378,2150,0.848953
120,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1825.5,899,1502,1379,2149,0.8511995
121,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1138.0,1826.5,898,1503,1378,2150,0.853313
122,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1826.5,900,1503,1379,2150,0.85361487
123,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1138.0,1827.0,897,1504,1379,2150,0.85213387
124,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1138.5,1827.5,898,1504,1379,2151,0.85497206
125,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1826.5,899,1503,1379,2150,0.8500357
126,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1826.0,900,1502,1379,2150,0.8526455
127,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1138.5,1825.5,898,1502,1379,2149,0.850165
128,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.5,1826.0,901,1502,1380,2150,0.8500865
129,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1826.5,898,1503,1380,2150,0.84537953
130,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1826.0,899,1503,1379,2149,0.8470444
131,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1825.5,900,1502,1379,2149,0.8495742
132,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1826.0,901,1502,1378,2150,0.8503558
133,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1827.0,900,1504,1379,2150,0.85087353
134,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1827.5,901,1504,1379,2151,0.8534549
135,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1826.5,901,1503,1379,2150,0.85462976
136,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1827.0,900,1504,1380,2150,0.8540192
137,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1826.0,901,1503,1379,2149,0.8515863
138,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1141.0,1825.0,902,1502,1380,2148,0.850137
139,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1825.0,900,1502,1380,2148,0.8488259
140,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1825.5,900,1503,1380,2148,0.8522564
141,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.0,1825.5,899,1502,1379,2149,0.852108
142,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1825.0,902,1501,1378,2149,0.8512751
143,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1825.0,901,1502,1379,2148,0.8498884
144,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1825.5,901,1503,1379,2148,0.85020024
145,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1826.0,900,1503,1379,2149,0.84898406
146,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1825.0,900,1502,1379,2148,0.8539629
147,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1826.0,901,1503,1379,2149,0.8559653
148,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1139.5,1826.0,900,1502,1379,2150,0.85480314
149,/Volumes/SmithL0/2026/BIOL470/Final/Learning_Rig/bee_0408_1_rev/cam1_2026-04-08_16-38-34.mp4,1140.0,1826.5,901,1502,1379,2151,0.8523871
